Name,SIZE,EXERCISE,SIZE_OF_HOME,GROOMING,COAT_LENGTH,SHEDS,LIFESPAN,VULNERABLE_NATIVE_BREED,TOWN_OR_COUNTRY,SIZE_OF_GARDEN
toy_poodle,Small,Up to 1 hour per day,Flat/ Apartment,Every day,Medium,No,Over 12 years,No,Either,Small/ medium garden
toy_terrier,Small,Moderate,Apartment,High,Short,Yes,12-15 years,No,Town or Country,small garden
vizsla,Medium,High,House,Moderate,Short,Yes,10-12 years,No,Country,Medium
walker_hound,Large,High,House,Moderate,Short,Yes,10-12 years,No,Country,Medium
weimaraner,Large,More than 2 hours per day,Large house,Once a week,Short & long,Yes,Over 10 years,No,Either,Large garden
welsh_springer_spaniel,Small,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
west_highland_white_terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
whippet,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
wire-haired_fox_terrier,Medium,Moderate,Apartment,High,Short,Yes,12-15 years,No,Town or Country,small garden
yorkshire_terrier,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
